date,HMF,wind_speed,SSN,polarity,HCS_tilt,daily_OSF
1985-03-28,5.2,374.0,35.0,-1.0,6.38,
1985-03-29,6.6,402.0,24.0,-1.0,6.38,
1985-03-30,6.0,432.0,28.0,-1.0,6.39,
1985-03-31,7.2,489.0,23.0,-1.0,6.39,
1985-04-01,8.9,581.0,31.0,-1.0,6.39,
1985-04-02,6.1,680.0,26.0,-1.0,6.4,
1985-04-03,5.8,637.0,29.0,-1.0,6.39,
1985-04-04,5.3,581.0,21.0,-1.0,6.33,
1985-04-05,5.5,549.0,29.0,-1.0,6.28,
1985-04-06,6.85,521.0,24.0,-1.0,6.23,
1985-04-07,8.2,493.0,14.0,-1.0,6.18,
1985-04-08,9.55,465.0,11.0,-1.0,6.13,
1985-04-09,10.9,437.0,11.0,-1.0,6.08,
1985-04-10,4.9,431.0,0.0,-1.0,6.03,
1985-04-11,6.0,472.0,0.0,-1.0,5.98,
1985-04-12,4.6,461.0,0.0,-1.0,5.92,
1985-04-13,5.0,386.0,0.0,-1.0,5.87,
1985-04-14,4.7,380.0,13.0,-1.0,5.82,
1985-04-15,3.0,354.0,0.0,-1.0,5.77,
1985-04-16,4.9,366.0,0.0,-1.0,5.72,
1985-04-17,5.7,388.0,0.0,-1.0,5.67,
1985-04-18,6.325,411.25,13.0,-1.0,5.62,
1985-04-19,6.949999999999999,434.5,11.0,-1.0,5.57,
1985-04-20,7.574999999999999,457.75,14.0,-1.0,5.51,
1985-04-21,8.2,481.0,21.0,-1.0,5.46,
1985-04-22,6.0,498.0,39.0,-1.0,5.41,
1985-04-23,5.5,533.0,35.0,-1.0,5.36,
1985-04-24,5.9,523.0,38.0,-1.0,5.31,
1985-04-25,5.8,525.0,46.0,-1.0,5.26,
1985-04-26,10.2,617.0,46.0,-1.0,5.21,
1985-04-27,9.0,544.0,39.0,-1.0,5.15,
1985-04-28,8.3,535.0,34.0,-1.0,5.1,
1985-04-29,7.4,550.0,33.0,-1.0,5.05,
1985-04-30,7.3,523.5,33.0,-1.0,5.0,
1985-05-01,9.2,497.0,22.0,-1.0,5.03,
1985-05-02,6.8,470.5,18.0,-1.0,5.05,
1985-05-03,3.9,444.0,17.0,-1.0,5.08,
1985-05-04,5.7,372.0,21.0,-1.0,5.1,
1985-05-05,3.6,382.0,19.0,-1.0,5.13,
1985-05-06,4.6,460.0,17.0,-1.0,5.15,
1985-05-07,4.8,427.0,38.0,-1.0,5.18,
1985-05-08,4.2,367.0,52.0,-1.0,5.2,
1985-05-09,4.3,341.0,66.0,-1.0,5.23,
1985-05-10,4.0,330.0,58.0,-1.0,5.26,
1985-05-11,4.7,345.0,58.0,-1.0,5.28,
1985-05-12,6.2,338.0,39.0,-1.0,5.31,
1985-05-13,6.5,369.3333333333333,38.0,-1.0,5.33,
1985-05-14,7.5,400.6666666666667,38.0,-1.0,5.36,
1985-05-15,5.8,432.0,38.0,-1.0,5.38,
1985-05-16,5.8,432.0,37.0,-1.0,5.41,
1985-05-17,6.1,412.0,45.0,-1.0,5.44,
1985-05-18,7.8,363.0,48.0,-1.0,5.46,
1985-05-19,7.5,339.0,47.0,-1.0,5.49,
1985-05-20,6.6,330.0,44.0,-1.0,5.51,
1985-05-21,6.0,365.0,42.0,-1.0,5.54,
1985-05-22,4.2,360.0,40.0,-1.0,5.56,
1985-05-23,3.7,326.0,38.0,-1.0,5.59,
1985-05-24,5.4,332.0,30.0,-1.0,5.62,
1985-05-25,7.7,349.0,22.0,-1.0,5.64,
1985-05-26,6.0,366.0,15.0,-1.0,5.67,
1985-05-27,3.7,383.0,14.0,-1.0,5.69,
1985-05-28,7.1,400.0,14.0,-1.0,5.73,
1985-05-29,5.1,417.0,12.0,-1.0,5.77,
1985-05-30,4.0,333.0,9.0,-1.0,5.81,
1985-05-31,4.3,322.0,9.0,-1.0,5.85,
1985-06-01,8.2,407.0,12.0,-1.0,5.89,
1985-06-02,4.1,432.0,0.0,-1.0,5.93,
1985-06-03,3.5,367.0,13.0,-1.0,5.97,
1985-06-04,3.5,337.0,30.0,-1.0,6.01,
1985-06-05,4.2,328.0,41.0,-1.0,6.05,
1985-06-06,9.2,352.0,43.0,-1.0,6.09,
1985-06-07,6.5,350.0,44.0,-1.0,6.13,
1985-06-08,4.6,348.0,49.0,-1.0,6.17,
1985-06-09,7.1,346.0,49.0,-1.0,6.21,
1985-06-10,6.2,344.0,68.0,-1.0,6.25,
1985-06-11,3.7,342.0,77.0,-1.0,6.29,
1985-06-12,4.5,340.0,63.0,-1.0,6.33,
1985-06-13,4.7,338.0,53.0,-1.0,6.37,
1985-06-14,5.2,336.0,42.0,-1.0,6.41,
1985-06-15,5.8,334.0,43.0,-1.0,6.45,
1985-06-16,3.4,332.0,32.0,-1.0,6.49,
1985-06-17,6.5,330.0,27.0,-1.0,6.54,
1985-06-18,4.2,353.0,21.0,-1.0,6.58,
1985-06-19,3.6,363.2,12.0,-1.0,6.62,
1985-06-20,6.0,373.4,11.0,-1.0,6.66,
1985-06-21,6.9,383.6,11.0,-1.0,6.7,
1985-06-22,5.0,393.8,11.0,-1.0,6.74,
1985-06-23,5.3,404.0,14.0,-1.0,6.78,
1985-06-24,8.3,366.0,15.0,-1.0,6.8,
1985-06-25,6.1,455.0,14.0,-1.0,6.82,
1985-06-26,6.8,519.0,12.0,-1.0,6.83,
1985-06-27,7.5,540.0,9.0,-1.0,6.84,
1985-06-28,6.0,622.0,9.0,-1.0,6.85,
1985-06-29,4.7,618.0,11.0,-1.0,6.86,
1985-06-30,4.7,538.0,13.0,-1.0,6.87,
1985-07-01,4.9,529.0,27.0,-1.0,6.88,
1985-07-02,3.7,553.0,35.0,-1.0,6.89,
1985-07-03,3.5,577.0,39.0,-1.0,6.9,
1985-07-04,8.3,601.0,42.0,-1.0,6.91,
1985-07-05,5.4,625.0,49.0,-1.0,6.93,
1985-07-06,6.7,649.0,56.0,-1.0,6.94,
1985-07-07,5.9,652.0,92.0,-1.0,6.95,
1985-07-08,5.7,612.0,87.0,-1.0,6.96,
1985-07-09,5.3,535.0,107.0,-1.0,6.97,
1985-07-10,4.7,439.0,107.0,-1.0,6.98,
1985-07-11,3.8,421.0,79.0,-1.0,6.99,
1985-07-12,10.2,478.0,59.0,-1.0,7.0,
1985-07-13,6.4,479.0,33.0,-1.0,7.01,
1985-07-14,5.0,478.8,12.0,-1.0,7.02,
1985-07-15,6.5,478.6,10.0,-1.0,7.04,
1985-07-16,4.9,478.4,12.0,-1.0,7.05,
1985-07-17,9.3,478.2,14.0,-1.0,7.06,
1985-07-18,5.4,478.0,14.0,-1.0,7.07,
1985-07-19,4.5,473.0,14.0,-1.0,7.08,
1985-07-20,5.7,389.0,14.0,-1.0,7.09,
1985-07-21,5.4,353.0,13.0,-1.0,7.1,
1985-07-22,4.2,336.0,13.0,-1.0,7.08,
1985-07-23,9.1,473.0,23.0,-1.0,7.07,
1985-07-24,6.7,462.0,16.0,-1.0,7.05,
1985-07-25,6.9,541.0,13.0,-1.0,7.04,
1985-07-26,5.6,560.0,17.0,-1.0,7.02,
1985-07-27,4.8,545.0,16.0,-1.0,7.01,
1985-07-28,4.7,530.0,47.0,-1.0,6.99,
1985-07-29,4.2,515.0,66.0,-1.0,6.98,
1985-07-30,5.5,500.0,60.0,-1.0,6.97,
1985-07-31,8.2,524.0,52.0,-1.0,6.95,
1985-08-01,6.8,589.0,32.0,-1.0,6.94,
1985-08-02,5.5,555.0,23.0,-1.0,6.92,
1985-08-03,6.1,478.0,25.0,-1.0,6.91,
1985-08-04,5.1,448.0,25.0,-1.0,6.89,
1985-08-05,5.2,390.0,18.0,-1.0,6.88,
1985-08-06,4.3,338.0,13.0,-1.0,6.86,
1985-08-07,5.7,332.0,11.0,-1.0,6.85,
1985-08-08,6.3,345.8,11.0,-1.0,6.83,
1985-08-09,5.3,359.6,15.0,-1.0,6.82,
1985-08-10,6.433333333333333,373.4,11.0,-1.0,6.8,
1985-08-11,7.566666666666666,387.2,11.0,-1.0,6.79,
1985-08-12,8.7,401.0,11.0,-1.0,6.77,
1985-08-13,6.8,608.0,0.0,-1.0,6.76,
1985-08-14,4.5,547.0,0.0,-1.0,6.75,
1985-08-15,4.7,451.0,0.0,-1.0,6.73,
1985-08-16,4.8,388.0,13.0,-1.0,6.72,
1985-08-17,5.8,350.0,11.0,-1.0,6.7,
1985-08-18,8.1,515.0,10.0,-1.0,6.74,
1985-08-19,7.0,487.0,11.0,-1.0,6.78,
1985-08-20,6.6,486.8333333333333,9.0,-1.0,6.82,
1985-08-21,7.9,486.6666666666667,8.0,-1.0,6.86,
1985-08-22,6.1,486.5,0.0,-1.0,6.9,
1985-08-23,4.8,486.3333333333333,0.0,-1.0,6.94,
1985-08-24,4.3,486.1666666666667,0.0,-1.0,6.98,
1985-08-25,7.6,486.0,0.0,-1.0,7.02,
1985-08-26,7.5,521.0,7.0,-1.0,7.06,
1985-08-27,5.7,663.0,7.0,-1.0,7.1,
1985-08-28,6.0,677.0,9.0,-1.0,7.14,
1985-08-29,6.1,672.0,8.0,-1.0,7.18,
1985-08-30,6.2,565.0,7.0,-1.0,7.22,
1985-08-31,8.8,454.0,8.0,-1.0,7.26,
1985-09-01,5.1,474.0,8.0,-1.0,7.3,
1985-09-02,5.699999999999999,446.6,0.0,-1.0,7.34,
1985-09-03,6.3,419.2,0.0,-1.0,7.38,
1985-09-04,6.9,391.8,0.0,-1.0,7.42,
1985-09-05,7.5,364.4,0.0,-1.0,7.46,
1985-09-06,8.1,337.0,0.0,-1.0,7.5,
1985-09-07,5.2,329.0,0.0,-1.0,7.54,
1985-09-08,6.1,330.0,0.0,-1.0,7.58,
1985-09-09,6.5,441.0,0.0,-1.0,7.62,
1985-09-10,4.9,457.0,0.0,-1.0,7.66,
1985-09-11,4.0,396.0,8.0,-1.0,7.7,
1985-09-12,3.4,340.0,0.0,-1.0,7.74,
1985-09-13,4.0,310.0,10.0,-1.0,7.78,
1985-09-14,5.8,311.0,10.0,-1.0,7.82,
1985-09-15,3.6,374.6,10.0,-1.0,7.86,
1985-09-16,4.15,438.2,10.0,-1.0,7.9,
1985-09-17,4.7,501.8,9.0,-1.0,7.93,
1985-09-18,3.8,565.4,11.0,-1.0,7.97,
1985-09-19,9.0,629.0,11.0,-1.0,8.01,
1985-09-20,5.9,641.0,10.0,-1.0,8.04,
1985-09-21,5.7,665.0,9.0,-1.0,8.08,
1985-09-22,5.9,592.0,8.0,-1.0,8.12,
1985-09-23,5.5,519.0,0.0,-1.0,8.15,
1985-09-24,7.1,570.0,0.0,-1.0,8.19,
1985-09-25,6.3,592.0,0.0,-1.0,8.23,
1985-09-26,5.7,522.0,0.0,-1.0,8.26,
1985-09-27,5.0,493.1666666666667,0.0,-1.0,8.3,
1985-09-28,4.1,464.3333333333333,0.0,-1.0,8.34,
1985-09-29,4.0,435.5,8.0,-1.0,8.37,
1985-09-30,4.766666666666667,406.6666666666667,8.0,-1.0,8.41,
1985-10-01,5.533333333333333,377.83333333333337,0.0,-1.0,8.45,
1985-10-02,6.3,349.0,0.0,-1.0,8.48,
1985-10-03,9.6,331.0,0.0,-1.0,8.52,
1985-10-04,6.3,312.0,0.0,-1.0,8.56,
1985-10-05,10.4,565.0,0.0,-1.0,8.59,
1985-10-06,5.2,658.0,0.0,-1.0,8.63,
1985-10-07,4.6,591.0,0.0,-1.0,8.67,
1985-10-08,4.5,453.0,0.0,-1.0,8.7,
1985-10-09,3.6,390.0,0.0,-1.0,8.74,
1985-10-10,3.9,361.0,0.0,-1.0,8.78,
1985-10-11,9.2,404.0,0.0,-1.0,8.79,
1985-10-12,5.4,447.0,0.0,-1.0,8.75,
1985-10-13,6.6,490.0,13.0,-1.0,8.71,
1985-10-14,5.0,533.0,15.0,-1.0,8.67,
1985-10-15,5.7,576.0,18.0,-1.0,8.63,
1985-10-16,7.2,561.0,29.0,-1.0,8.58,
1985-10-17,10.2,491.0,22.0,-1.0,8.54,
1985-10-18,8.1,605.0,24.0,-1.0,8.5,
1985-10-19,5.1,651.0,37.0,-1.0,8.46,
1985-10-20,3.9,534.0,52.0,-1.0,8.42,
1985-10-21,9.9,570.0,59.0,-1.0,8.38,
1985-10-22,6.7,589.0,85.0,-1.0,8.34,
1985-10-23,5.1,552.0,79.0,-1.0,8.3,
1985-10-24,4.5,515.0,74.0,-1.0,8.26,
1985-10-25,4.275,478.0,65.0,-1.0,8.22,
1985-10-26,4.05,441.0,47.0,-1.0,8.18,
1985-10-27,3.825,404.0,32.0,-1.0,8.14,
1985-10-28,3.6,367.0,17.0,-1.0,8.1,
1985-10-29,6.8,329.0,13.0,-1.0,8.06,
1985-10-30,5.9,373.0,0.0,-1.0,8.02,
1985-10-31,4.8,337.0,0.0,-1.0,7.98,
1985-11-01,6.4,414.0,0.0,-1.0,7.94,
1985-11-02,9.8,441.0,0.0,-1.0,7.9,
1985-11-03,5.6,576.0,0.0,-1.0,7.86,
1985-11-04,4.6,569.5,0.0,-1.0,7.82,
1985-11-05,5.6,563.0,18.0,-1.0,7.78,
1985-11-06,6.6,556.5,21.0,-1.0,7.74,
1985-11-07,7.6,550.0,21.0,-1.0,7.7,
1985-11-08,8.6,543.5,20.0,-1.0,7.67,
1985-11-09,9.6,537.0,27.0,-1.0,7.64,
1985-11-10,5.2,599.0,16.0,-1.0,7.61,
1985-11-11,5.3,568.0,19.0,-1.0,7.58,
1985-11-12,3.9,449.0,21.0,-1.0,7.55,
1985-11-13,9.5,559.0,33.0,-1.0,7.52,
1985-11-14,6.5,636.0,48.0,-1.0,7.49,
1985-11-15,4.4,678.0,53.0,-1.0,7.46,
1985-11-16,4.9,630.0,43.0,-1.0,7.43,
1985-11-17,5.42,588.3333333333334,47.0,-1.0,7.4,
1985-11-18,5.94,546.6666666666666,41.0,-1.0,7.38,
1985-11-19,6.46,505.0,33.0,-1.0,7.35,
1985-11-20,6.98,463.33333333333337,31.0,-1.0,7.32,
1985-11-21,7.5,421.6666666666667,20.0,-1.0,7.29,
1985-11-22,6.8,380.0,13.0,-1.0,7.26,
1985-11-23,3.8,362.0,11.0,-1.0,7.23,
1985-11-24,3.0,328.0,0.0,-1.0,7.2,
1985-11-25,6.8,313.0,0.0,-1.0,7.17,
1985-11-26,5.6,338.0,0.0,-1.0,7.14,
1985-11-27,6.3,422.0,0.0,-1.0,7.11,
1985-11-28,3.4,415.0,0.0,-1.0,7.08,
1985-11-29,2.7,342.0,0.0,-1.0,7.05,
1985-11-30,3.68,374.0,0.0,-1.0,7.02,
1985-12-01,4.66,406.0,0.0,-1.0,6.99,
1985-12-02,5.64,438.0,15.0,-1.0,6.96,
1985-12-03,6.619999999999999,470.0,12.0,-1.0,6.94,
1985-12-04,7.6,502.0,0.0,-1.0,6.91,
1985-12-05,5.9,490.0,16.0,-1.0,6.9,
1985-12-06,4.1,393.0,24.0,-1.0,6.9,
1985-12-07,7.1,385.0,14.0,-1.0,6.9,
1985-12-08,3.9,367.0,11.0,-1.0,6.9,
1985-12-09,4.8,377.0,15.0,-1.0,6.9,
1985-12-10,7.9,580.0,14.0,-1.0,6.9,
1985-12-11,6.0,678.0,16.0,-1.0,6.9,
1985-12-12,5.8,626.6666666666666,17.0,-1.0,6.9,
1985-12-13,5.6,575.3333333333334,16.0,-1.0,6.9,
1985-12-14,5.4,524.0,27.0,-1.0,6.9,
1985-12-15,5.2,472.6666666666666,43.0,-1.0,6.9,
1985-12-16,5.0,421.3333333333333,60.0,-1.0,6.9,
1985-12-17,4.8,370.0,58.0,-1.0,6.9,
1985-12-18,9.4,408.0,48.0,-1.0,6.9,
1985-12-19,5.6,459.0,37.0,-1.0,6.9,
1985-12-20,6.4,418.0,22.0,-1.0,6.9,
1985-12-21,3.6,372.0,16.0,-1.0,6.9,
1985-12-22,3.6,376.0,10.0,-1.0,6.9,
1985-12-23,4.4,403.0,0.0,-1.0,6.9,
1985-12-24,9.5,360.0,0.0,-1.0,6.9,
1985-12-25,9.483333333333334,400.8333333333333,0.0,-1.0,6.9,
1985-12-26,9.466666666666669,441.6666666666667,0.0,-1.0,6.9,
1985-12-27,9.45,482.5,0.0,-1.0,6.9,
1985-12-28,9.433333333333334,523.3333333333334,0.0,-1.0,6.9,
1985-12-29,9.416666666666668,564.1666666666667,0.0,-1.0,6.9,
1985-12-30,9.4,605.0,0.0,-1.0,6.9,
1985-12-31,5.9,644.0,0.0,-1.0,6.9,
1986-01-01,6.0,683.0,0.0,-1.0,6.9,
1986-01-02,4.1,671.0,0.0,-1.0,6.9,
1986-01-03,3.7,508.0,0.0,-1.0,6.9,
1986-01-04,2.9,420.0,0.0,-1.0,6.9,
1986-01-05,2.6,368.0,0.0,-1.0,6.9,
1986-01-06,7.0,344.0,0.0,-1.0,6.9,
1986-01-07,6.36,359.0,0.0,-1.0,6.9,
1986-01-08,5.72,374.0,0.0,-1.0,6.9,
1986-01-09,5.08,389.0,0.0,-1.0,6.9,
1986-01-10,4.44,404.0,0.0,-1.0,6.9,
1986-01-11,3.8,419.0,0.0,-1.0,6.9,
1986-01-12,4.3,369.0,0.0,-1.0,6.9,
1986-01-13,3.3,351.0,14.0,-1.0,6.9,
1986-01-14,2.6,336.0,17.0,-1.0,6.9,
1986-01-15,5.4,348.0,14.0,-1.0,6.9,
1986-01-16,5.0,351.0,11.0,-1.0,6.9,
1986-01-17,6.7,349.0,0.0,-1.0,6.9,
1986-01-18,7.5,382.0,0.0,-1.0,6.9,
1986-01-19,7.366666666666667,407.6666666666667,0.0,-1.0,6.9,
1986-01-20,7.233333333333333,433.3333333333333,0.0,-1.0,6.9,
1986-01-21,7.1,459.0,0.0,-1.0,6.9,
1986-01-22,6.966666666666667,484.6666666666667,0.0,-1.0,6.9,
1986-01-23,6.833333333333334,510.33333333333337,0.0,-1.0,6.9,
1986-01-24,6.7,536.0,0.0,-1.0,6.9,
1986-01-25,8.4,560.0,0.0,-1.0,6.9,
1986-01-26,4.8,687.0,8.0,-1.0,6.9,
1986-01-27,6.2,717.0,0.0,-1.0,6.9,
1986-01-28,5.9,708.0,0.0,-1.0,6.91,
1986-01-29,5.5,692.0,0.0,-1.0,6.95,
1986-01-30,4.3,624.0,11.0,-1.0,7.0,
1986-01-31,3.8,533.0,11.0,-1.0,7.04,
1986-02-01,3.74,499.6,22.0,-1.0,7.09,
1986-02-02,3.68,466.2,40.0,-1.0,7.13,
1986-02-03,3.62,432.8,63.0,-1.0,7.17,
1986-02-04,3.56,399.4,66.0,-1.0,7.22,
1986-02-05,3.5,366.0,64.0,-1.0,7.26,
1986-02-06,4.4,367.0,56.0,-1.0,7.31,
1986-02-07,14.8,522.0,63.0,-1.0,7.35,
1986-02-08,19.2,830.0,65.0,-1.0,7.39,
1986-02-09,14.9,806.0,56.0,-1.0,7.44,
1986-02-10,4.1,618.0,42.0,-1.0,7.48,
1986-02-11,4.6,547.0,44.0,-1.0,7.53,
1986-02-12,5.9,516.0,30.0,-1.0,7.57,
1986-02-13,6.3,428.0,26.0,-1.0,7.61,
1986-02-14,6.2,434.4,19.0,-1.0,7.66,
1986-02-15,6.1,440.8,13.0,-1.0,7.7,
1986-02-16,6.0,447.2,0.0,-1.0,7.75,
1986-02-17,5.9,453.6,0.0,-1.0,7.79,
1986-02-18,5.8,460.0,0.0,-1.0,7.83,
1986-02-19,3.8,455.0,0.0,-1.0,7.88,
1986-02-20,7.2,498.0,12.0,-1.0,7.92,
1986-02-21,7.1,649.0,12.0,-1.0,7.97,
1986-02-22,9.0,695.0,12.0,-1.0,8.01,
1986-02-23,5.9,762.0,12.0,-1.0,8.05,
1986-02-24,6.1,699.0,10.0,-1.0,8.1,
1986-02-25,5.9,692.0,13.0,-1.0,8.09,
1986-02-26,6.6,678.0,11.0,-1.0,8.07,
1986-02-27,6.3,641.0,18.0,-1.0,8.06,
1986-02-28,6.0,604.0,12.0,-1.0,8.04,
1986-03-01,5.7,567.0,15.0,-1.0,8.03,
1986-03-02,5.4,530.0,30.0,-1.0,8.01,
1986-03-03,2.9,441.0,31.0,-1.0,8.0,
1986-03-04,4.6,402.0,29.0,-1.0,7.98,
1986-03-05,5.4,399.0,30.0,-1.0,7.97,
1986-03-06,10.6,439.0,30.0,-1.0,7.95,
1986-03-07,7.2,517.0,35.0,-1.0,7.94,
1986-03-08,6.9,554.0,27.0,-1.0,7.92,
1986-03-09,7.5,588.0,20.0,-1.0,7.91,
1986-03-10,7.4,514.0,18.0,-1.0,7.9,
1986-03-11,7.2,488.0,17.0,-1.0,7.88,
1986-03-12,7.0,462.0,12.0,-1.0,7.87,
1986-03-13,6.800000000000001,436.0,7.0,-1.0,7.85,
1986-03-14,6.6000000000000005,410.0,0.0,-1.0,7.84,
1986-03-15,6.4,384.0,9.0,-1.0,7.82,
1986-03-16,5.1,414.0,0.0,-1.0,7.81,
1986-03-17,4.2,389.0,0.0,-1.0,7.79,
1986-03-18,7.1,449.0,0.0,-1.0,7.78,
1986-03-19,4.1,458.0,0.0,-1.0,7.76,
1986-03-20,5.8,389.0,11.0,-1.0,7.75,
1986-03-21,6.1,491.0,12.0,-1.0,7.73,
1986-03-22,5.7,598.0,9.0,-1.0,7.72,
1986-03-23,5.5,638.0,14.0,-1.0,7.7,
1986-03-24,5.8,633.75,13.0,-1.0,7.66,
1986-03-25,6.1,629.5,9.0,-1.0,7.59,
1986-03-26,6.4,625.25,9.0,-1.0,7.53,
1986-03-27,6.7,621.0,10.0,-1.0,7.47,
1986-03-28,4.5,628.0,12.0,-1.0,7.41,
1986-03-29,4.4,516.0,10.0,-1.0,7.35,
1986-03-30,3.5,400.0,10.0,-1.0,7.28,
1986-03-31,5.4,399.0,0.0,-1.0,7.22,
1986-04-01,4.7,452.0,11.0,-1.0,7.16,
1986-04-02,5.4,459.0,12.0,-1.0,7.1,
1986-04-03,5.4,456.0,12.0,-1.0,7.03,
1986-04-04,4.9,508.0,0.0,-1.0,6.97,
1986-04-05,5.46,475.4,0.0,-1.0,6.91,
1986-04-06,6.0200000000000005,442.8,0.0,-1.0,6.85,
1986-04-07,6.58,410.2,0.0,-1.0,6.78,
1986-04-08,7.140000000000001,377.6,11.0,-1.0,6.72,
1986-04-09,7.7,345.0,0.0,-1.0,6.66,
1986-04-10,6.8,380.0,11.0,-1.0,6.6,
1986-04-11,4.8,351.0,16.0,-1.0,6.54,
1986-04-12,7.9,342.0,17.0,-1.0,6.47,
1986-04-13,5.0,337.0,16.0,-1.0,6.41,
1986-04-14,4.9,322.0,31.0,-1.0,6.35,
1986-04-15,6.9,353.0,30.0,-1.0,6.29,
1986-04-16,7.0,435.0,25.0,-1.0,6.22,
1986-04-17,5.1,390.0,16.0,-1.0,6.16,
